Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
12,LTST-C281KRKT,Lite-On Inc.,LED RED CLEAR CHIP SMD,,"21,252",In Stock,10,1,2,Cut Tape (CT),160-LTST-C281KRKTCT-ND,0.18000,$0.36,1,,160-LTST-C281KRKTCT-ND,22,https://optoelectronics.liteon.com/upload/download/DS22-2008-0117/LTST-C281KRKT.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,2A  (4 Weeks),EAR99,8541.41.0000,China,,160-LTST-C281KRKTCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/237/303/%7E160%7E0402-%281005-Metric%29%7E.002_web%28640x640%29.jpg,
13,BC070-05-A-1-L-C,GCT,"5POS 1.0MM PITCH SOCKET, SIL, SM",,"2,899",In Stock,,1,1,Cut Tape (CT),2073-BC070-05-A-1-L-CCT-ND,1.03000,$1.03,1,,2073-BC070-05-A-1-L-CCT-ND,8,https://gct.co/files/specs/1.00mm-socket-spec.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,2073-BC070-05-A-1-L-CCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/438/MFG_BC070-05-A-1-L-C.jpg,
14,BC070-04-A-1-L-D,GCT,"4W, 1.0MM PITCH SOCKET, SIL, SMT",,"2,866",In Stock,,1,1,Tube,2073-BC070-04-A-1-L-D-ND,0.52000,$0.52,1,,2073-BC070-04-A-1-L-D-ND,8,https://gct.co/files/specs/1.00mm-socket-spec.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,2073-BC070-04-A-1-L-D-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4059/BC070-04-A-1-L-D.jpg,
15,SRN2510BTA-2R2M,Bourns Inc.,FIXED IND 2.2UH 2A 132 MOHM SMD,,"2,140",In Stock,10,5,6,Cut Tape (CT),118-SRN2510BTA-2R2MCT-ND,0.30000,$1.80,1,,118-SRN2510BTA-2R2MCT-ND,21,https://www.bourns.com/docs/Product-Datasheets/SRN2510BTA.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8504.50.8000,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-cofc/cofc-srn.pdf?sfvrsn=597d93f1_18,118-SRN2510BTA-2R2MCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/001/152/398/MFG_SRN2510BTA_web%28640x640%29.jpg,
16,SI7139DP-T1-GE3,Vishay Siliconix,MOSFET P-CH 30V 40A PPAK SO-8,,"4,126",In Stock,,1,1,Cut Tape (CT),SI7139DP-T1-GE3CT-ND,2.09000,$2.09,1,,SI7139DP-T1-GE3CT-ND,39,https://www.vishay.com/docs/65299/si7139dp.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,,1  (Unlimited),EAR99,8541.29.0095,China,,SI7139DP-T1-GE3CT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/212/993/742%7E5881%7EDP%7E8_web%28640x640%29.jpg,
17,RC0402FR-0710KL,YAGEO,RES 10K OHM 1% 1/16W 0402,,"9,636,776",In Stock,10,10,11,Cut Tape (CT),311-10.0KLRCT-ND,0.01200,$0.13,1,,311-10.0KLRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-10.0KLRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
18,RC0402FR-07100KL,YAGEO,RES 100K OHM 1% 1/16W 0402,,"4,831,519",In Stock,10,1,2,Cut Tape (CT),311-100KLRCT-ND,0.10000,$0.20,1,,311-100KLRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-100KLRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
19,RC0402FR-0733RL,YAGEO,RES 33 OHM 1% 1/16W 0402,,"2,592,460",In Stock,10,1,2,Cut Tape (CT),311-33.0LRCT-ND,0.10000,$0.20,1,,311-33.0LRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-33.0LRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
20,RC0402FR-07220RL,YAGEO,RES 220 OHM 1% 1/16W 0402,,"410,791",In Stock,10,1,2,Cut Tape (CT),311-220LRCT-ND,0.10000,$0.20,1,,311-220LRCT-ND,18,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageogroup.com/content/Resource%20Library/Product%20Environmental%20Compliance/RoHS_Compliance_YAGEO.pdf,311-220LRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
21,ATSAMD21G18A-AU,Microchip Technology,IC MCU 32BIT 256KB FLASH 48TQFP,,"6,577",In Stock,,1,1,Tray,ATSAMD21G18A-AU-ND,4.16000,$4.16,1,,ATSAMD21G18A-AU-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/SAM-D21-DA1-Family-Data-Sheet-DS40001882H.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),3A991A2,8542.31.0025,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,ATSAMD21G18A-AU-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4578/150%7E48TQFP-1%2C2-7x7%7EA%7E48.JPG,
22,MCF8316A1VRGFR,Texas Instruments,"40-V MAX, 8-A PEAK, SENSORLESS F",,"3,958",In Stock,,4,4,Cut Tape (CT),296-MCF8316A1VRGFRCT-ND,3.91000,$15.64,1,,296-MCF8316A1VRGFRCT-ND,12,https://www.ti.com/lit/ds/symlink/mcf8316a.pdf?ts=1662971630101&ref_url=http%253A%252F%252Fwww.ti.com%252Fproduct%252FMCF8316A,,	-,,Active,Not applicable,,2  (1 Year),EAR99,8542.39.0070,China,,296-MCF8316A1VRGFRCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/210/417/296%7E4204716-3%7ERGF%7E40_web%28640x640%29.jpg,
23,MCP1826S-3302E/DB,Microchip Technology,IC REG LINEAR 3.3V 1A SOT-223-3,,"9,244",In Stock,,1,1,Tube,MCP1826S-3302E/DB-ND,0.91000,$0.91,1,,MCP1826S-3302E/DB-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/22057B.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0090,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,MCP1826S-3302E/DB-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5484/150%7EC04-032%7EDB%7E4.JPG,
24,TPS62163DSGT,Texas Instruments,IC REG BUCK 5V 1A 8WSON,,"8,333",In Stock,,1,1,Cut Tape (CT),296-30228-1-ND,1.98000,$1.98,1,,296-30228-1-ND,12,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftps62161,,	-,,Active,ROHS3 Compliant,REACH Unaffected,2  (1 Year),EAR99,8542.39.0090,Malaysia,,296-30228-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/339/296%7E4208210%7EDSG%7E8.jpg,
25,ICM-20602,TDK InvenSense,IMU ACCEL/GYRO/TEMP I2C/SPI LGA,,75,In Stock,,1,1,Cut Tape (CT),1428-1060-1-ND,4.96000,$4.96,1,,1428-1060-1-ND,26,https://www.invensense.com/wp-content/uploads/2016/10/DS-000176-ICM-20602-v1.0.pdf,,	-,,Last Time Buy,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),7A994,8542.39.0070,Taiwan,,1428-1060-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6154/1428%7E16LGA-.80-3X3%7E%7E16.jpg,
